127.0.0.1 - - [25/Sep/2018:20:39:00 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_diamond_25_675423_10x8.png.xhtml?ln=primefaces-swanky-purse HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_f2ec64_256x240.png.xhtml?ln=primefaces-swanky-purse HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_b8ec79_256x240.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:32 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png.xhtml?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 18617
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_30_f58400_1x100.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_20_555555_1x400.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [25/Sep/2018:20:39:33 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_40_0078a3_1x400.png.xhtml?ln=primefaces-ui-darkness HTTP/1.1" 200 135
